timestamp,ue,off_ul_bps,off_dl_bps,ach_ul_bps,ach_dl_bps
1780487722.242,vue7,3027100,330850,3202632,9352
1780487723.244,vue7,3027100,330850,3027104,8112
1780487724.248,vue7,3027100,330850,3027096,16816
1780487725.252,vue7,3027100,330850,3027104,0
1780487726.254,vue7,3027100,330850,3027576,0
1780487727.26,vue7,3027100,330850,3027160,0
1780487728.262,vue7,3027100,330850,3102112,0
1780487729.265,vue7,3027100,330850,3027096,0
1780487730.269,vue7,3027100,330850,3027096,0
1780487731.27,vue7,3025100,328850,3027016,0
1780487732.271,vue7,3025100,328850,3025112,0
1780487733.272,vue7,3025100,328850,3025096,0
1780487734.275,vue7,3025100,328850,3025576,0
1780487735.276,vue7,3025100,328850,3025120,0
1780487736.278,vue7,3025100,328850,3025104,0
1780487737.279,vue7,3025100,328850,3025096,0
1780487738.284,vue7,3025100,328850,3025104,0
1780487739.287,vue7,3025100,328850,3100096,0
1780487740.289,vue7,3025100,328850,3025104,0
1780487741.293,vue7,3025100,328850,3025576,0
1780487742.296,vue7,3025100,328850,3025120,0
1780487743.297,vue7,3025100,328850,3025112,0
1780487744.3,vue7,3025100,328850,3025096,0
1780487745.302,vue7,3025100,328850,3025096,0
1780487746.305,vue7,3025100,328850,3025096,0
1780487747.307,vue7,3025100,328850,3025112,0
1780487748.309,vue7,3025100,328850,3025096,0
1780487749.311,vue7,3025100,328850,3100096,0
1780487750.313,vue7,3025100,328850,3025096,0
1780487751.315,vue7,3001250,305000,3023224,0
1780487752.318,vue7,3001250,305000,3001248,0
1780487753.325,vue7,3001250,305000,3001248,0
1780487754.327,vue7,3001250,305000,3001248,0
1780487755.328,vue7,3001250,305000,3001256,0
1780487756.329,vue7,3001250,305000,3001248,0
1780487757.331,vue7,3001250,305000,3001248,0
1780487758.333,vue7,3001250,305000,3001248,0
1780487759.334,vue7,3001250,305000,3001256,0
1780487760.336,vue7,3001250,305000,3076272,0
1780487761.339,vue7,3001250,305000,3001248,0
1780487762.341,vue7,3001250,305000,3001256,0
1780487763.347,vue7,3001250,305000,3001248,0
1780487764.35,vue7,3001250,305000,3001248,0
1780487765.355,vue7,3001250,305000,3001248,0
1780487766.36,vue7,3001250,305000,3001280,0
1780487767.363,vue7,3001250,305000,3076248,0
1780487768.365,vue7,3001250,305000,3001248,0
1780487769.368,vue7,3001250,305000,3001248,0
1780487770.369,vue7,3001250,305000,3001256,0
1780487771.37,vue7,3001250,305000,3001248,0
1780487772.374,vue7,3001250,305000,3001248,0
1780487773.375,vue7,3001250,305000,3001280,0
1780487774.378,vue7,3001250,305000,3001248,0
1780487775.381,vue7,3001250,305000,3001248,0
1780487776.383,vue7,3001250,305000,3001248,0
1780487777.387,vue7,3001250,305000,3076256,0
1780487778.39,vue7,3001250,305000,3001248,0
1780487779.392,vue7,3001250,305000,3001248,0
1780487780.394,vue7,3001250,305000,3001248,0
1780487781.397,vue7,3101250,330000,3013776,1872
1780487782.399,vue7,3001250,305000,3088752,0
1780487783.401,vue7,3001250,305000,3001248,0
1780487784.404,vue7,3001250,305000,3001248,0
1780487785.406,vue7,3001250,305000,3001256,0
1780487786.41,vue7,3001250,305000,3001248,0
1780487787.413,vue7,3001250,305000,3076248,0
1780487788.416,vue7,3001250,305000,3001280,0
1780487789.418,vue7,3001250,305000,3001248,0
1780487790.422,vue7,3001250,305000,3001248,0
1780487791.424,vue7,3025100,328850,3011744,0
1780487792.425,vue7,3025100,328850,3025104,0
1780487793.427,vue7,3025100,328850,3025096,0
1780487794.427,vue7,3025100,328850,3025104,0
1780487795.435,vue7,3025100,328850,3025120,0
1780487796.439,vue7,3025100,328850,3100584,0
1780487797.441,vue7,3027100,330850,3026456,0
1780487798.442,vue7,3027100,330850,3027096,0
