timestamp,ue,off_ul_bps,off_dl_bps,ach_ul_bps,ach_dl_bps
1780487722.302,vue2,3015000,311000,3091872,17440
1780487723.304,vue2,3015000,311000,3015152,7528
1780487724.309,vue2,3015000,311000,3013752,15096
1780487725.313,vue2,3015000,311000,3016880,7568
1780487726.315,vue2,3015000,311000,3013752,16016
1780487727.316,vue2,3015000,311000,3015152,7528
1780487728.318,vue2,3015000,311000,3015144,15064
1780487729.319,vue2,3015000,311000,3090464,16496
1780487730.321,vue2,3015000,311000,3015152,15064
1780487731.324,vue2,3015000,311000,3013744,8520
1780487732.327,vue2,3015000,311000,3016864,15064
1780487733.328,vue2,3015000,311000,3013752,0
1780487734.331,vue2,3015000,311000,3015160,0
1780487735.332,vue2,3015000,311000,3015152,0
1780487736.333,vue2,3015000,311000,3015464,0
1780487737.334,vue2,3015000,311000,3015144,0
1780487738.337,vue2,3015000,311000,3013752,0
1780487739.339,vue2,3015000,311000,3015152,0
1780487740.344,vue2,3015000,311000,3091856,0
1780487741.346,vue2,3015000,311000,3013752,0
1780487742.348,vue2,3015000,311000,3015152,0
1780487743.35,vue2,3015000,311000,3015456,0
1780487744.353,vue2,3015000,311000,3015176,0
1780487745.355,vue2,3015000,311000,3013752,0
1780487746.356,vue2,3015000,311000,3015152,0
1780487747.357,vue2,3015000,311000,3016856,0
1780487748.36,vue2,3015000,311000,3013752,0
1780487749.364,vue2,3015000,311000,3015152,0
1780487750.366,vue2,3015000,311000,3015456,0
1780487751.369,vue2,3015000,311000,3090152,0
1780487752.371,vue2,3015000,311000,3013768,0
1780487753.374,vue2,3015000,311000,3015144,0
1780487754.376,vue2,3015000,311000,3016864,0
1780487755.378,vue2,3015000,311000,3013752,0
1780487756.381,vue2,3015000,311000,3015144,0
1780487757.385,vue2,3015000,311000,3013752,0
1780487758.385,vue2,3015000,311000,3016864,0
1780487759.387,vue2,3015000,311000,3015144,0
1780487760.388,vue2,3015000,311000,3013752,0
1780487761.389,vue2,3015000,311000,3016864,0
1780487762.391,vue2,3015000,311000,3013768,0
1780487763.393,vue2,3015000,311000,3090152,0
1780487764.395,vue2,3015000,311000,3013752,0
1780487765.397,vue2,3015000,311000,3016856,0
1780487766.4,vue2,3015000,311000,3015152,0
1780487767.403,vue2,3015000,311000,3013752,0
1780487768.405,vue2,3015000,311000,3015152,0
1780487769.408,vue2,3015000,311000,3015456,0
1780487770.416,vue2,3015000,311000,3015168,0
1780487771.42,vue2,3015000,311000,3090152,0
1780487772.421,vue2,3015000,311000,3015456,0
1780487773.425,vue2,3015000,311000,3015152,0
1780487774.428,vue2,3015000,311000,3013752,0
1780487775.431,vue2,3015000,311000,3015168,0
1780487776.434,vue2,3015000,311000,3015464,0
1780487777.438,vue2,3015000,311000,3015152,0
1780487778.441,vue2,3015000,311000,3015144,0
1780487779.444,vue2,3015000,311000,3090464,0
1780487780.447,vue2,3015000,311000,3015152,0
1780487781.449,vue2,3015000,311000,3013744,0
1780487782.45,vue2,3015000,311000,3015152,0
1780487783.451,vue2,3015000,311000,3016880,0
1780487784.452,vue2,3015000,311000,3013744,0
1780487785.455,vue2,3015000,311000,3015152,0
1780487786.457,vue2,3015000,311000,3013752,0
1780487787.459,vue2,3015000,311000,3016856,0
1780487788.463,vue2,3015000,311000,3013752,0
1780487789.467,vue2,3015000,311000,3015152,0
1780487790.469,vue2,3015000,311000,3091856,0
1780487791.472,vue2,3015000,311000,3013776,0
