timestamp,ue,off_ul_bps,off_dl_bps,ach_ul_bps,ach_dl_bps
1780487722.414,vue4,3027100,330850,3202632,9352
1780487723.416,vue4,3027100,330850,3027104,16232
1780487724.42,vue4,3027100,330850,3027096,8120
1780487725.424,vue4,3027100,330850,3027104,8152
1780487726.427,vue4,3027100,330850,3027600,16232
1780487727.431,vue4,3027100,330850,3027136,16856
1780487728.436,vue4,3027100,330850,3102112,8120
1780487729.437,vue4,3027100,330850,3027096,8112
1780487730.439,vue4,3027100,330850,3027096,16848
1780487731.442,vue4,3025100,328850,3027016,9784
1780487732.445,vue4,3025100,328850,3025608,9592
1780487733.45,vue4,3025100,328850,3025096,1616
1780487734.452,vue4,3025100,328850,3025104,576
1780487735.454,vue4,3025100,328850,3025096,1152
1780487736.457,vue4,3025100,328850,3025104,1632
1780487737.458,vue4,3025100,328850,3100096,472
1780487738.462,vue4,3025100,328850,3025104,8544
1780487739.467,vue4,3025100,328850,3025608,1048
1780487740.47,vue4,3025100,328850,3025096,8648
1780487741.473,vue4,3025100,328850,3025096,9144
1780487742.478,vue4,3025100,328850,3025096,0
1780487743.479,vue4,3025100,328850,3025112,576
1780487744.481,vue4,3025100,328850,3025096,3176
1780487745.484,vue4,3025100,328850,3100096,584
1780487746.486,vue4,3025100,328850,2950600,1936
1780487747.491,vue4,3025100,328850,3100104,0
1780487748.493,vue4,3025100,328850,3025096,1064
1780487749.496,vue4,3025100,328850,3025104,2680
1780487750.497,vue4,3025100,328850,3025096,0
1780487751.501,vue4,3001250,305000,3022720,7504
1780487752.505,vue4,3001250,305000,3001272,104
1780487753.508,vue4,3001250,305000,3001248,200
1780487754.511,vue4,3001250,305000,3076256,392
1780487755.512,vue4,3001250,305000,3001248,296
1780487756.513,vue4,3001250,305000,3001248,296
1780487757.515,vue4,3001250,305000,3001248,7600
1780487758.523,vue4,3001250,305000,3001256,208
1780487759.525,vue4,3001250,305000,3001272,0
1780487760.526,vue4,3001250,305000,3001248,296
1780487761.527,vue4,3001250,305000,3001248,7784
1780487762.529,vue4,3001250,305000,3001256,400
1780487763.531,vue4,3001250,305000,3001248,96
1780487764.532,vue4,3001250,305000,3001248,600
1780487765.535,vue4,3001250,305000,3076248,304
1780487766.538,vue4,3001250,305000,3001256,608
1780487767.539,vue4,3001250,305000,3001248,7600
1780487768.542,vue4,3001250,305000,3001248,200
1780487769.543,vue4,3001250,305000,3001248,304
1780487770.547,vue4,3001250,305000,3001280,296
1780487771.552,vue4,3001250,305000,3001248,7896
1780487772.555,vue4,3001250,305000,3001248,304
1780487773.56,vue4,3001250,305000,3076256,104
1780487774.561,vue4,3001250,305000,3001248,296
1780487775.563,vue4,3001250,305000,3001248,200
1780487776.566,vue4,3001250,305000,3001272,200
1780487777.569,vue4,3001250,305000,3001256,600
1780487778.57,vue4,3001250,305000,3001248,96
1780487779.573,vue4,3001250,305000,3001248,592
1780487780.576,vue4,3001250,305000,3001248,0
1780487781.579,vue4,3101250,330000,3013752,9160
1780487782.582,vue4,3001250,305000,3088752,408
1780487783.583,vue4,3001250,305000,3001248,7704
1780487784.584,vue4,3001250,305000,3076248,408
1780487785.585,vue4,3001250,305000,3001280,192
1780487786.589,vue4,3001250,305000,3001248,304
1780487787.592,vue4,3001250,305000,3001248,7896
1780487788.595,vue4,3001250,305000,3001256,208
1780487789.598,vue4,3001250,305000,3001248,296
1780487790.6,vue4,3001250,305000,3001248,392
1780487791.604,vue4,3001250,305000,3001248,384
1780487792.611,vue4,3001250,305000,3076280,296
1780487793.613,vue4,3001250,305000,3001248,600
1780487794.618,vue4,3001250,305000,3001248,296
1780487795.62,vue4,3001250,305000,3001248,296
1780487796.623,vue4,3001250,305000,3001256,384
1780487797.624,vue4,3001250,305000,3001248,7800
1780487798.625,vue4,3001250,305000,3001248,208
1780487799.625,vue4,3001250,305000,3001280,312
1780487800.627,vue4,3001250,305000,3001248,200
1780487801.629,vue4,3001250,305000,3001248,296
1780487802.632,vue4,3001250,305000,3001248,296
1780487803.636,vue4,3001250,305000,3076256,496
