timestamp,ue,off_ul_bps,off_dl_bps,ach_ul_bps,ach_dl_bps
1780487722.295,vue12,3027100,330850,3202632,8688
1780487723.298,vue12,3027100,330850,3027104,8776
1780487724.299,vue12,3027100,330850,3027096,16712
1780487725.303,vue12,3027100,330850,3027104,16384
1780487726.305,vue12,3027100,330850,3027576,8104
1780487727.308,vue12,3027100,330850,3027160,16856
1780487728.311,vue12,3027100,330850,3027112,8120
1780487729.313,vue12,3027100,330850,3102096,15616
1780487730.315,vue12,3027100,330850,3027096,9304
1780487731.317,vue12,3025100,328850,3027016,16096
1780487732.32,vue12,3025100,328850,3025112,8072
1780487733.323,vue12,3025100,328850,3025096,0
1780487734.326,vue12,3025100,328850,3025576,7504
1780487735.329,vue12,3025100,328850,3025120,0
1780487736.33,vue12,3025100,328850,3025104,16152
1780487737.332,vue12,3025100,328850,3025096,8648
1780487738.335,vue12,3025100,328850,3025104,1624
1780487739.338,vue12,3025100,328850,3025096,15488
1780487740.34,vue12,3025100,328850,3100104,8072
1780487741.344,vue12,3025100,328850,3025096,7600
1780487742.345,vue12,3025100,328850,3025104,952
1780487743.348,vue12,3025100,328850,3025608,2024
1780487744.351,vue12,3025100,328850,3025096,0
1780487745.353,vue12,3025100,328850,3025096,1648
1780487746.354,vue12,3025100,328850,3025096,1152
1780487747.355,vue12,3025100,328850,3025112,104
1780487748.356,vue12,3025100,328850,3025096,10664
1780487749.357,vue12,3025100,328850,3025096,1048
1780487750.358,vue12,3025100,328850,3025096,0
1780487751.361,vue12,3001250,305000,3023200,8448
1780487752.363,vue12,3001250,305000,3076248,104
1780487753.364,vue12,3001250,305000,3001248,7600
1780487754.366,vue12,3001250,305000,3001248,304
1780487755.369,vue12,3001250,305000,3001280,7712
1780487756.373,vue12,3001250,305000,3001248,0
1780487757.375,vue12,3001250,305000,3001248,104
1780487758.378,vue12,3001250,305000,3001248,304
1780487759.38,vue12,3001250,305000,3001256,15400
1780487760.385,vue12,3001250,305000,3001248,0
1780487761.387,vue12,3001250,305000,3001248,0
1780487762.39,vue12,3001250,305000,3076280,392
1780487763.392,vue12,3001250,305000,3001248,200
1780487764.393,vue12,3001250,305000,3001248,104
1780487765.397,vue12,3001250,305000,3001248,96
1780487766.399,vue12,3001250,305000,3001256,0
1780487767.402,vue12,3001250,305000,3001248,7696
1780487768.405,vue12,3001250,305000,3001248,400
1780487769.407,vue12,3001250,305000,3001272,512
1780487770.408,vue12,3001250,305000,3001256,7600
1780487771.411,vue12,3001250,305000,3001248,7816
1780487772.411,vue12,3001250,305000,3001248,7808
1780487773.413,vue12,3001250,305000,3076248,296
1780487774.417,vue12,3001250,305000,3001256,608
1780487775.419,vue12,3001250,305000,3001248,296
1780487776.423,vue12,3001250,305000,3001248,400
1780487777.425,vue12,3001250,305000,3001248,616
1780487778.428,vue12,3001250,305000,3001280,104
1780487779.43,vue12,3001250,305000,3001248,296
1780487780.432,vue12,3001250,305000,3001248,408
1780487781.434,vue12,3101250,330000,3011256,8952
1780487782.437,vue12,3001250,305000,3091248,104
1780487783.439,vue12,3001250,305000,3076248,200
1780487784.441,vue12,3001250,305000,3001248,200
1780487785.443,vue12,3001250,305000,3001256,7504
1780487786.446,vue12,3025100,328850,3020352,13624
1780487787.448,vue12,3025100,328850,3025096,96
1780487788.451,vue12,3025100,328850,3025104,584
1780487789.455,vue12,3025100,328850,3025104,400
1780487790.456,vue12,3025100,328850,3025096,504
1780487791.459,vue12,3025100,328850,3025096,288
1780487792.462,vue12,3025100,328850,3100576,104
1780487793.464,vue12,3025100,328850,3025104,496
1780487794.467,vue12,3025100,328850,3025128,304
1780487795.469,vue12,3025100,328850,3025096,7800
1780487796.472,vue12,3025100,328850,3025104,200
1780487797.475,vue12,3025100,328850,3025096,296
1780487798.476,vue12,3025100,328850,3025104,200
1780487799.477,vue12,3025100,328850,3025096,952
1780487800.48,vue12,3025100,328850,3025104,2584
1780487801.483,vue12,3025100,328850,3025576,1520
1780487802.484,vue12,3025100,328850,3025096,576
1780487803.487,vue12,3025100,328850,3025104,1640
1780487804.489,vue12,3025100,328850,3100128,96
1780487805.491,vue12,3025100,328850,3025096,2384
1780487806.493,vue12,3025100,328850,3025096,2880
1780487807.495,vue12,3025100,328850,3025104,3344
1780487808.499,vue12,3025100,328850,3025104,9344
1780487809.501,vue12,3025100,328850,3025096,1728
1780487810.502,vue12,3025100,328850,3025096,96
1780487811.504,vue12,3025100,328850,3025576,1152
1780487812.505,vue12,3025100,328850,3025104,1824
1780487813.506,vue12,3025100,328850,3025128,3856
1780487814.508,vue12,3025100,328850,3025096,1720
1780487815.51,vue12,3025100,328850,3025104,2896
1780487816.512,vue12,3001250,305000,3004592,200
1780487817.514,vue12,3001250,305000,3076248,0
1780487818.516,vue12,3001250,305000,3001248,104
1780487819.52,vue12,3001250,305000,3001256,304
1780487820.522,vue12,3001250,305000,3001248,296
1780487821.523,vue12,3001250,305000,3001248,0
1780487822.527,vue12,3001250,305000,3001272,96
1780487823.528,vue12,3001250,305000,3001256,15000
1780487824.533,vue12,3001250,305000,3001248,192
1780487825.535,vue12,3001250,305000,3001248,104
1780487826.537,vue12,3001250,305000,3076248,15496
1780487827.541,vue12,3001250,305000,3001256,304
1780487828.543,vue12,3001250,305000,3001248,296
1780487829.545,vue12,3001250,305000,3001248,296
1780487830.548,vue12,3001250,305000,3001280,208
1780487831.549,vue12,3001250,305000,3001248,7600
1780487832.552,vue12,3001250,305000,3001248,7704
1780487833.554,vue12,3001250,305000,3001248,200
1780487834.557,vue12,3001250,305000,3001256,504
1780487835.559,vue12,3001250,305000,3001248,304
