timestamp,ue,off_ul_bps,off_dl_bps,ach_ul_bps,ach_dl_bps
1780487722.308,vue9,2000000,20000000,2050000,960000
1780487723.312,vue9,2000000,20000000,2000000,1440000
1780487724.315,vue9,2000000,20000000,2000000,960000
1780487725.316,vue9,2000000,20000000,2000000,1440000
1780487726.319,vue9,2000000,20000000,2000000,1440000
1780487727.322,vue9,2000000,20000000,2000000,1440000
1780487728.329,vue9,2000000,20000000,2000000,1440000
1780487729.332,vue9,2000000,20000000,2050000,1440000
1780487730.335,vue9,2000000,20000000,2000000,1440000
1780487731.338,vue9,2000000,20000000,2000000,960000
1780487732.341,vue9,2000000,20000000,2000000,960000
1780487733.344,vue9,2000000,20000000,2000000,1440000
1780487734.345,vue9,2000000,20000000,2000000,1440000
1780487735.347,vue9,2000000,20000000,2000000,960000
1780487736.349,vue9,2000000,20000000,2000000,1440000
1780487737.35,vue9,2000000,20000000,2000000,480000
1780487738.352,vue9,2000000,20000000,2000000,1440000
1780487739.354,vue9,2000000,20000000,2000000,0
1780487740.357,vue9,2000000,20000000,2050000,0
1780487741.361,vue9,2000000,20000000,2000000,0
1780487742.365,vue9,2000000,20000000,2000000,480000
1780487743.369,vue9,2000000,20000000,2000000,0
1780487744.372,vue9,2000000,20000000,2000000,0
1780487745.374,vue9,2000000,20000000,2000000,0
1780487746.379,vue9,2000000,20000000,2000000,0
1780487747.383,vue9,2000000,20000000,2050000,0
1780487748.385,vue9,2000000,20000000,2000000,0
1780487749.388,vue9,2000000,20000000,2000000,0
1780487750.39,vue9,2000000,20000000,2000000,0
1780487751.394,vue9,2000000,20000000,2000000,0
1780487752.396,vue9,2000000,20000000,2000000,0
1780487753.398,vue9,2000000,20000000,2000000,0
1780487754.4,vue9,2000000,20000000,2000000,0
1780487755.402,vue9,0,0,300000,0
1780487756.405,vue9,0,0,0,0
1780487757.409,vue9,0,0,0,0
1780487758.41,vue9,2000000,20000000,1000000,0
1780487759.412,vue9,2000000,20000000,2050000,0
1780487760.413,vue9,2000000,20000000,2000000,480000
1780487761.416,vue9,2000000,20000000,2000000,960000
1780487762.421,vue9,2000000,20000000,2000000,0
1780487763.422,vue9,2000000,20000000,2000000,0
1780487764.423,vue9,2000000,20000000,2000000,0
1780487765.425,vue9,2000000,20000000,2000000,0
1780487766.427,vue9,2000000,20000000,2000000,0
1780487767.428,vue9,2000000,20000000,2000000,0
1780487768.432,vue9,2000000,20000000,2000000,0
1780487769.436,vue9,2000000,20000000,2000000,0
1780487770.437,vue9,2000000,20000000,2000000,0
1780487771.442,vue9,2000000,20000000,2050000,0
1780487772.442,vue9,2000000,20000000,2000000,0
1780487773.444,vue9,2000000,20000000,2000000,0
1780487774.45,vue9,2000000,20000000,2000000,0
1780487775.451,vue9,2000000,20000000,2000000,0
1780487776.452,vue9,2000000,20000000,2000000,960000
1780487777.454,vue9,2000000,20000000,2000000,1440000
1780487778.459,vue9,2000000,20000000,2000000,960000
1780487779.459,vue9,2000000,20000000,2000000,0
1780487780.461,vue9,2000000,20000000,2000000,0
1780487781.463,vue9,2000000,20000000,2050000,0
1780487782.466,vue9,2000000,20000000,2000000,0
1780487783.468,vue9,2000000,20000000,2000000,0
1780487784.469,vue9,2000000,20000000,2000000,0
1780487785.471,vue9,2000000,20000000,2000000,480000
1780487786.472,vue9,0,0,1900000,0
1780487787.474,vue9,0,0,0,0
1780487788.476,vue9,0,0,0,0
1780487789.478,vue9,0,0,0,0
1780487790.483,vue9,0,0,0,0
1780487791.485,vue9,0,0,0,0
1780487792.486,vue9,0,0,0,0
1780487793.487,vue9,2000000,20000000,900000,960000
1780487794.489,vue9,2000000,20000000,2000000,0
1780487795.491,vue9,2000000,20000000,2000000,0
1780487796.495,vue9,2000000,20000000,2000000,0
1780487797.498,vue9,2000000,20000000,2000000,0
1780487798.501,vue9,2000000,20000000,2050000,0
1780487799.504,vue9,2000000,20000000,2000000,0
1780487800.507,vue9,2000000,20000000,2000000,0
1780487801.51,vue9,2000000,20000000,2000000,0
1780487802.512,vue9,2000000,20000000,2000000,0
1780487803.515,vue9,2000000,20000000,2000000,0
1780487804.517,vue9,2000000,20000000,2000000,0
1780487805.519,vue9,2000000,20000000,2000000,0
1780487806.522,vue9,2000000,20000000,2000000,0
1780487807.523,vue9,2000000,20000000,2000000,0
1780487808.525,vue9,2000000,20000000,2000000,0
1780487809.527,vue9,2000000,20000000,2050000,960000
1780487810.529,vue9,2000000,20000000,2000000,1920000
1780487811.534,vue9,2000000,20000000,2000000,960000
1780487812.537,vue9,2000000,20000000,2000000,1440000
1780487813.541,vue9,2000000,20000000,2000000,1440000
1780487814.543,vue9,2000000,20000000,2000000,0
1780487815.545,vue9,2000000,20000000,2000000,0
1780487816.546,vue9,2000000,20000000,2000000,0
1780487817.548,vue9,2000000,20000000,2000000,0
1780487818.552,vue9,2000000,20000000,2050000,0
1780487819.554,vue9,2000000,20000000,2000000,0
1780487820.56,vue9,2000000,20000000,2000000,0
1780487821.561,vue9,2000000,20000000,2000000,0
1780487822.563,vue9,0,0,850000,0
1780487823.567,vue9,0,0,0,0
1780487824.571,vue9,0,0,0,0
1780487825.572,vue9,0,0,0,0
1780487826.574,vue9,0,0,0,0
1780487827.576,vue9,0,0,0,0
1780487828.58,vue9,2000000,20000000,1200000,0
1780487829.581,vue9,2000000,20000000,2000000,0
1780487830.583,vue9,2000000,20000000,2000000,0
1780487831.584,vue9,2000000,20000000,2000000,0
1780487832.587,vue9,2000000,20000000,2000000,0
1780487833.591,vue9,2000000,20000000,2050000,0
1780487834.594,vue9,2000000,20000000,2000000,0
1780487835.596,vue9,2000000,20000000,2000000,480000
1780487836.598,vue9,2000000,20000000,2000000,0
1780487837.6,vue9,2000000,20000000,2000000,480000
1780487838.601,vue9,2000000,20000000,2000000,0
1780487839.606,vue9,2000000,20000000,2000000,0
1780487840.608,vue9,2000000,20000000,2000000,0
1780487841.612,vue9,2000000,20000000,2000000,0
1780487842.616,vue9,2000000,20000000,2050000,0
1780487843.618,vue9,2000000,20000000,2000000,480000
1780487844.622,vue9,2000000,20000000,2000000,960000
1780487845.625,vue9,2000000,20000000,2000000,960000
1780487846.628,vue9,2000000,20000000,2000000,1440000
1780487847.631,vue9,2000000,20000000,2000000,960000
1780487848.632,vue9,2000000,20000000,2000000,960000
1780487849.638,vue9,2000000,20000000,2000000,960000
1780487850.642,vue9,2000000,20000000,2050000,0
1780487851.644,vue9,2000000,20000000,2000000,0
1780487852.647,vue9,2000000,20000000,2000000,0
1780487853.652,vue9,2000000,20000000,2000000,0
1780487854.655,vue9,2000000,20000000,2000000,0
1780487855.658,vue9,2000000,20000000,2000000,0
1780487856.66,vue9,2000000,20000000,2000000,0
1780487857.662,vue9,2000000,20000000,2000000,480000
1780487858.665,vue9,2000000,20000000,2050000,0
1780487859.669,vue9,2000000,20000000,2000000,0
1780487860.671,vue9,0,0,1050000,0
1780487861.675,vue9,0,0,0,0
1780487862.677,vue9,0,0,0,0
1780487863.679,vue9,0,0,0,0
1780487864.683,vue9,0,0,0,0
1780487865.685,vue9,0,0,0,0
1780487866.688,vue9,2000000,20000000,1550000,0
1780487867.689,vue9,2000000,20000000,2000000,0
1780487868.69,vue9,2000000,20000000,2000000,0
1780487869.692,vue9,2000000,20000000,2000000,0
1780487870.696,vue9,2000000,20000000,2000000,0
1780487871.698,vue9,2000000,20000000,2000000,0
1780487872.701,vue9,2000000,20000000,2000000,0
1780487873.709,vue9,2000000,20000000,2000000,0
1780487874.711,vue9,2000000,20000000,2050000,0
1780487875.715,vue9,2000000,20000000,2000000,0
1780487876.718,vue9,2000000,20000000,2000000,0
1780487877.721,vue9,2000000,20000000,2000000,0
1780487878.723,vue9,2000000,20000000,2000000,0
1780487879.726,vue9,2000000,20000000,2000000,0
1780487880.73,vue9,2000000,20000000,2000000,0
1780487881.733,vue9,2000000,20000000,2000000,0
1780487882.738,vue9,2000000,20000000,2050000,480000
1780487883.74,vue9,2000000,20000000,2000000,480000
1780487884.745,vue9,2000000,20000000,2000000,0
1780487885.748,vue9,2000000,20000000,2000000,960000
1780487886.753,vue9,2000000,20000000,2000000,480000
1780487887.755,vue9,2000000,20000000,2000000,480000
1780487888.759,vue9,2000000,20000000,2000000,480000
1780487889.762,vue9,2000000,20000000,2050000,480000
1780487890.765,vue9,2000000,20000000,2000000,480000
1780487891.77,vue9,2000000,20000000,2000000,480000
1780487892.772,vue9,2000000,20000000,2000000,0
1780487893.78,vue9,2000000,20000000,2000000,0
1780487894.781,vue9,2000000,20000000,2000000,0
1780487895.783,vue9,2000000,20000000,2000000,0
1780487896.784,vue9,2000000,20000000,2000000,0
1780487897.788,vue9,2000000,20000000,2050000,0
1780487898.792,vue9,2000000,20000000,2000000,0
1780487899.794,vue9,2000000,20000000,2000000,0
1780487900.796,vue9,0,0,950000,0
1780487901.801,vue9,0,0,0,0
1780487902.804,vue9,0,0,0,0
1780487903.807,vue9,0,0,0,0
1780487904.812,vue9,0,0,0,0
1780487905.817,vue9,0,0,0,0
1780487906.818,vue9,0,0,0,0
1780487907.82,vue9,2000000,20000000,700000,480000
1780487908.823,vue9,2000000,20000000,2000000,0
1780487909.824,vue9,2000000,20000000,2000000,0
1780487910.83,vue9,2000000,20000000,2000000,0
1780487911.834,vue9,2000000,20000000,2050000,0
1780487912.836,vue9,2000000,20000000,2000000,0
1780487913.838,vue9,2000000,20000000,2000000,0
1780487914.839,vue9,2000000,20000000,2000000,0
1780487915.842,vue9,2000000,20000000,2000000,0
1780487916.845,vue9,2000000,20000000,2000000,0
1780487917.848,vue9,2000000,20000000,2000000,0
1780487918.849,vue9,2000000,20000000,2000000,0
1780487919.85,vue9,2000000,20000000,2000000,0
1780487920.852,vue9,2000000,20000000,2000000,0
1780487921.854,vue9,2000000,20000000,2000000,0
1780487922.856,vue9,2000000,20000000,2000000,0
1780487923.858,vue9,2000000,20000000,2000000,0
1780487924.862,vue9,2000000,20000000,2050000,0
1780487925.865,vue9,2000000,20000000,2000000,0
1780487926.868,vue9,2000000,20000000,2000000,480000
1780487927.871,vue9,2000000,20000000,2000000,480000
1780487928.874,vue9,2000000,20000000,2000000,480000
1780487929.879,vue9,2000000,20000000,2000000,480000
1780487930.879,vue9,2000000,20000000,2000000,480000
1780487931.882,vue9,2000000,20000000,2000000,960000
1780487932.885,vue9,2000000,20000000,2050000,480000
1780487933.887,vue9,2000000,20000000,2000000,480000
1780487934.89,vue9,2000000,20000000,2000000,480000
1780487935.894,vue9,2000000,20000000,2000000,480000
1780487936.896,vue9,2000000,20000000,2000000,480000
1780487937.899,vue9,2000000,20000000,2000000,0
1780487938.901,vue9,2000000,20000000,2000000,0
1780487939.902,vue9,2000000,20000000,2000000,0
1780487940.904,vue9,2000000,20000000,2000000,0
1780487941.908,vue9,2000000,20000000,2000000,0
1780487942.912,vue9,2000000,20000000,2050000,0
1780487943.915,vue9,2000000,20000000,2000000,0
1780487944.918,vue9,2000000,20000000,2000000,0
1780487945.919,vue9,2000000,20000000,2000000,0
1780487946.921,vue9,2000000,20000000,2000000,0
1780487947.927,vue9,0,0,300000,0
1780487948.932,vue9,0,0,0,0
1780487949.935,vue9,0,0,0,0
1780487950.938,vue9,0,0,0,0
1780487951.94,vue9,0,0,0,0
1780487952.943,vue9,0,0,0,0
1780487953.944,vue9,0,0,0,0
1780487954.946,vue9,2000000,20000000,1750000,0
1780487955.947,vue9,2000000,20000000,2000000,0
1780487956.951,vue9,2000000,20000000,2050000,0
1780487957.953,vue9,2000000,20000000,2000000,0
1780487958.957,vue9,2000000,20000000,2000000,0
1780487959.959,vue9,2000000,20000000,2000000,0
1780487960.96,vue9,2000000,20000000,2000000,0
1780487961.962,vue9,2000000,20000000,2000000,0
1780487962.963,vue9,2000000,20000000,2000000,0
1780487963.965,vue9,2000000,20000000,2000000,0
1780487964.967,vue9,2000000,20000000,2000000,0
1780487965.971,vue9,2000000,20000000,2000000,0
1780487966.973,vue9,2000000,20000000,2050000,0
1780487967.976,vue9,2000000,20000000,2000000,0
1780487968.978,vue9,2000000,20000000,2000000,0
1780487969.981,vue9,2000000,20000000,2000000,0
1780487970.982,vue9,2000000,20000000,2000000,0
1780487971.985,vue9,2000000,20000000,2000000,0
1780487972.987,vue9,2000000,20000000,2000000,480000
1780487973.988,vue9,2000000,20000000,2000000,480000
1780487974.989,vue9,2000000,20000000,2000000,480000
1780487975.991,vue9,2000000,20000000,2000000,480000
1780487976.992,vue9,2000000,20000000,2000000,480000
1780487977.994,vue9,2000000,20000000,2000000,480000
1780487978.997,vue9,0,0,1100000,0
1780487980.0,vue9,0,0,0,0
1780487981.001,vue9,0,0,0,0
1780487982.004,vue9,0,0,0,0
1780487983.006,vue9,0,0,0,0
1780487984.011,vue9,0,0,0,0
1780487985.014,vue9,0,0,0,0
1780487986.015,vue9,0,0,0,0
1780487987.016,vue9,2000000,20000000,1700000,3360000
1780487988.018,vue9,2000000,20000000,2000000,0
1780487989.019,vue9,2000000,20000000,2000000,0
1780487990.021,vue9,2000000,20000000,2000000,480000
1780487991.024,vue9,2000000,20000000,2000000,0
1780487992.027,vue9,2000000,20000000,2000000,0
1780487993.031,vue9,2000000,20000000,2000000,0
1780487994.035,vue9,2000000,20000000,2000000,0
1780487995.038,vue9,2000000,20000000,2000000,0
1780487996.042,vue9,2000000,20000000,2050000,0
1780487997.045,vue9,2000000,20000000,2000000,0
