timestamp,ue,off_ul_bps,off_dl_bps,ach_ul_bps,ach_dl_bps
1780487722.346,vue6,2000000,20000000,2050000,1440000
1780487723.349,vue6,2000000,20000000,2000000,1920000
1780487724.35,vue6,2000000,20000000,2000000,1920000
1780487725.353,vue6,2000000,20000000,2000000,1920000
1780487726.355,vue6,2000000,20000000,2000000,2400000
1780487727.358,vue6,2000000,20000000,2000000,1920000
1780487728.36,vue6,2000000,20000000,2000000,1920000
1780487729.362,vue6,2000000,20000000,2000000,2400000
1780487730.365,vue6,2000000,20000000,2000000,1440000
1780487731.367,vue6,2000000,20000000,2000000,1920000
1780487732.368,vue6,2000000,20000000,2050000,1920000
1780487733.37,vue6,2000000,20000000,2000000,960000
1780487734.373,vue6,2000000,20000000,2000000,480000
1780487735.375,vue6,2000000,20000000,2000000,0
1780487736.376,vue6,2000000,20000000,2000000,0
1780487737.377,vue6,2000000,20000000,2000000,0
1780487738.379,vue6,2000000,20000000,2000000,0
1780487739.38,vue6,2000000,20000000,2000000,0
1780487740.382,vue6,2000000,20000000,2000000,0
1780487741.386,vue6,2000000,20000000,2000000,0
1780487742.388,vue6,2000000,20000000,2000000,0
1780487743.39,vue6,2000000,20000000,2000000,0
1780487744.394,vue6,2000000,20000000,2050000,0
1780487745.394,vue6,2000000,20000000,2000000,0
1780487746.397,vue6,2000000,20000000,2000000,0
1780487747.401,vue6,2000000,20000000,2000000,0
1780487748.402,vue6,2000000,20000000,2000000,0
1780487749.403,vue6,2000000,20000000,2000000,0
1780487750.404,vue6,2000000,20000000,2000000,0
1780487751.408,vue6,2000000,20000000,2000000,0
1780487752.411,vue6,2000000,20000000,2000000,0
1780487753.413,vue6,2000000,20000000,2000000,0
1780487754.413,vue6,2000000,20000000,2000000,480000
1780487755.416,vue6,0,0,1200000,0
1780487756.418,vue6,0,0,0,0
1780487757.421,vue6,0,0,0,0
1780487758.423,vue6,0,0,0,0
1780487759.426,vue6,0,0,0,0
1780487760.428,vue6,0,0,0,0
1780487761.43,vue6,0,0,0,0
1780487762.432,vue6,0,0,0,0
1780487763.433,vue6,2000000,20000000,1200000,0
1780487764.434,vue6,2000000,20000000,2000000,0
1780487765.436,vue6,2000000,20000000,2000000,0
1780487766.441,vue6,2000000,20000000,2000000,0
1780487767.443,vue6,2000000,20000000,2000000,0
1780487768.444,vue6,2000000,20000000,2000000,0
1780487769.446,vue6,2000000,20000000,2000000,480000
1780487770.449,vue6,2000000,20000000,2050000,1920000
1780487771.454,vue6,2000000,20000000,2000000,1440000
