timestamp,ue,off_ul_bps,off_dl_bps,ach_ul_bps,ach_dl_bps
1780487722.336,vue11,3015000,311000,3091872,17440
1780487723.339,vue11,3015000,311000,3015152,22624
1780487724.34,vue11,3015000,311000,3013752,15064
1780487725.342,vue11,3015000,311000,3016856,23584
1780487726.343,vue11,3015000,311000,3013752,24024
1780487727.345,vue11,3015000,311000,3015152,23584
1780487728.346,vue11,3015000,311000,3015144,22592
1780487729.349,vue11,3015000,311000,3015464,22632
1780487730.351,vue11,3015000,311000,3015152,17512
1780487731.352,vue11,3015000,311000,3013768,128
1780487732.353,vue11,3015000,311000,3016864,7664
1780487733.356,vue11,3015000,311000,3013752,96
1780487734.357,vue11,3015000,311000,3015144,160
1780487735.359,vue11,3015000,311000,3090152,1080
1780487736.36,vue11,3015000,311000,3015464,64
1780487737.362,vue11,3015000,311000,3015144,160
1780487738.365,vue11,3015000,311000,3013752,192
1780487739.366,vue11,3015000,311000,3015152,128
1780487740.367,vue11,3015000,311000,3015456,7656
1780487741.369,vue11,3015000,311000,3015152,96
1780487742.374,vue11,3015000,311000,3015168,1048
1780487743.378,vue11,3015000,311000,3015456,7624
1780487744.38,vue11,3015000,311000,3015152,10016
1780487745.383,vue11,3015000,311000,3013752,128
1780487746.385,vue11,3015000,311000,3090152,96
1780487747.386,vue11,3015000,311000,3016856,256
1780487748.388,vue11,3015000,311000,3013752,1592
1780487749.39,vue11,3015000,311000,3015152,7664
1780487750.392,vue11,3015000,311000,3013744,7856
1780487751.395,vue11,3015000,311000,3016888,2192
1780487752.396,vue11,3015000,311000,3013752,976
1780487753.398,vue11,3015000,311000,3015144,7848
1780487754.4,vue11,3015000,311000,3016864,7656
1780487755.401,vue11,3015000,311000,3013752,7752
1780487756.404,vue11,3015000,311000,3015144,312
1780487757.408,vue11,3015000,311000,3013752,256
1780487758.41,vue11,3015000,311000,3091864,344
1780487759.413,vue11,3015000,311000,3013760,192
1780487760.415,vue11,3015000,311000,3015152,224
1780487761.418,vue11,3015000,311000,3015152,288
1780487762.42,vue11,3015000,311000,3015456,1240
1780487763.422,vue11,3015000,311000,3015152,352
1780487764.424,vue11,3015000,311000,3013752,288
1780487765.425,vue11,3015000,311000,3016856,160
1780487766.426,vue11,3015000,311000,3015152,64
1780487767.428,vue11,3015000,311000,3013752,15096
1780487768.432,vue11,3015000,311000,3015176,7504
1780487769.434,vue11,3015000,311000,3090456,7632
1780487770.435,vue11,3015000,311000,3015152,128
1780487771.437,vue11,3015000,311000,3013752,64
1780487772.44,vue11,3015000,311000,3015144,920
1780487773.444,vue11,3015000,311000,3016864,96
1780487774.447,vue11,3015000,311000,3013752,224
1780487775.448,vue11,3015000,311000,3015144,224
1780487776.452,vue11,3015000,311000,3015480,192
1780487777.455,vue11,3015000,311000,3015152,7888
1780487778.456,vue11,3015000,311000,3015144,1304
1780487779.458,vue11,3015000,311000,3013752,7528
