timestamp,ue,off_ul_bps,off_dl_bps,ach_ul_bps,ach_dl_bps
1780487722.443,vue1,3027100,330850,3202632,9352
1780487723.446,vue1,3027100,330850,3027104,8112
1780487724.448,vue1,3027100,330850,3027096,8736
1780487725.45,vue1,3027100,330850,3027104,8256
1780487726.452,vue1,3027100,330850,3027096,16232
1780487727.458,vue1,3027100,330850,3027640,8696
1780487728.46,vue1,3027100,330850,3027112,16280
1780487729.462,vue1,3027100,330850,3027096,8112
1780487730.463,vue1,3027100,330850,3102096,16848
1780487731.465,vue1,3025100,328850,3027016,0
1780487732.467,vue1,3025100,328850,3025112,0
1780487733.47,vue1,3025100,328850,3025096,0
1780487734.473,vue1,3025100,328850,3025096,0
1780487735.474,vue1,3025100,328850,3025576,0
1780487736.475,vue1,3025100,328850,3025104,0
1780487737.478,vue1,3025100,328850,3025120,0
1780487738.48,vue1,3025100,328850,3025104,0
1780487739.482,vue1,3025100,328850,3025096,0
1780487740.485,vue1,3025100,328850,3025104,0
1780487741.488,vue1,3025100,328850,3100096,0
1780487742.49,vue1,3025100,328850,3025104,0
1780487743.498,vue1,3025100,328850,3025608,0
1780487744.5,vue1,3025100,328850,3025096,0
1780487745.501,vue1,3025100,328850,3025096,0
1780487746.504,vue1,3025100,328850,3025096,0
1780487747.511,vue1,3025100,328850,3025112,0
1780487748.512,vue1,3025100,328850,3100096,0
1780487749.517,vue1,3025100,328850,3025600,0
1780487750.521,vue1,3025100,328850,3025096,0
1780487751.523,vue1,3001250,305000,3022720,0
1780487752.525,vue1,3001250,305000,3001248,0
1780487753.527,vue1,3001250,305000,3001248,0
1780487754.529,vue1,3001250,305000,3001248,0
1780487755.531,vue1,3001250,305000,3001256,0
1780487756.533,vue1,3001250,305000,3001248,0
1780487757.538,vue1,3001250,305000,3076272,0
1780487758.539,vue1,3001250,305000,3001256,0
1780487759.541,vue1,3001250,305000,3001248,0
1780487760.542,vue1,3001250,305000,3001248,0
1780487761.543,vue1,3001250,305000,3001248,0
1780487762.546,vue1,3001250,305000,3001256,0
1780487763.55,vue1,3001250,305000,3001248,0
1780487764.556,vue1,3001250,305000,3001272,0
1780487765.559,vue1,3001250,305000,3001248,0
1780487766.561,vue1,3001250,305000,3001256,0
1780487767.565,vue1,3001250,305000,3076248,0
1780487768.568,vue1,3001250,305000,3001248,0
1780487769.571,vue1,3001250,305000,3001248,0
1780487770.574,vue1,3001250,305000,3001256,0
1780487771.579,vue1,3001250,305000,3001272,0
